name,type_1,type_2,height,weight,hp,attack,defense,special-attack,special-defense,speed
drilbur,ground,None,3,85,60,85,40,30,45,68
excadrill,ground,steel,7,404,110,135,60,50,65,88
audino,normal,None,11,310,103,60,86,60,86,50
timburr,fighting,None,6,125,75,80,55,25,35,35
gurdurr,fighting,None,12,400,85,105,85,40,50,40
conkeldurr,fighting,None,14,870,105,140,95,55,65,45
tympole,water,None,5,45,50,50,40,50,40,64
palpitoad,water,ground,8,170,75,65,55,65,55,69
seismitoad,water,ground,15,620,105,95,75,85,75,74
throh,fighting,None,13,555,120,100,85,30,85,45
sawk,fighting,None,14,510,75,125,75,30,75,85
sewaddle,bug,grass,3,25,45,53,70,40,60,42
swadloon,bug,grass,5,73,55,63,90,50,80,42
leavanny,bug,grass,12,205,75,103,80,70,80,92
venipede,bug,poison,4,53,30,45,59,30,39,57
whirlipede,bug,poison,12,585,40,55,99,40,79,47
scolipede,bug,poison,25,2005,60,100,89,55,69,112
cottonee,grass,fairy,3,6,40,27,60,37,50,66
whimsicott,grass,fairy,7,66,60,67,85,77,75,116
petilil,grass,None,5,66,45,35,50,70,50,30
lilligant,grass,None,11,163,70,60,75,110,75,90
basculin-red-striped,water,None,10,180,70,92,65,80,55,98
sandile,ground,dark,7,152,50,72,35,35,35,65
krokorok,ground,dark,10,334,60,82,45,45,45,74
krookodile,ground,dark,15,963,95,117,80,65,70,92
darumaka,fire,None,6,375,70,90,45,15,45,50
darmanitan-standard,fire,None,13,929,105,140,55,30,55,95
maractus,grass,None,10,280,75,86,67,106,67,60
dwebble,bug,rock,3,145,50,65,85,35,35,55
crustle,bug,rock,14,2000,70,105,125,65,75,45
scraggy,dark,fighting,6,118,50,75,70,35,70,48
scrafty,dark,fighting,11,300,65,90,115,45,115,58
sigilyph,psychic,flying,14,140,72,58,80,103,80,97
yamask,ghost,None,5,15,38,30,85,55,65,30
cofagrigus,ghost,None,17,765,58,50,145,95,105,30
tirtouga,water,rock,7,165,54,78,103,53,45,22
carracosta,water,rock,12,810,74,108,133,83,65,32
archen,rock,flying,5,95,55,112,45,74,45,70
archeops,rock,flying,14,320,75,140,65,112,65,110
trubbish,poison,None,6,310,50,50,62,40,62,65
garbodor,poison,None,19,1073,80,95,82,60,82,75
zorua,dark,None,7,125,40,65,40,80,40,65
zoroark,dark,None,16,811,60,105,60,120,60,105
minccino,normal,None,4,58,55,50,40,40,40,75
cinccino,normal,None,5,75,75,95,60,65,60,115
gothita,psychic,None,4,58,45,30,50,55,65,45
gothorita,psychic,None,7,180,60,45,70,75,85,55
gothitelle,psychic,None,15,440,70,55,95,95,110,65
solosis,psychic,None,3,10,45,30,40,105,50,20
duosion,psychic,None,6,80,65,40,50,125,60,30
reuniclus,psychic,None,10,201,110,65,75,125,85,30
ducklett,water,flying,5,55,62,44,50,44,50,55
swanna,water,flying,13,242,75,87,63,87,63,98
vanillite,ice,None,4,57,36,50,50,65,60,44
vanillish,ice,None,11,410,51,65,65,80,75,59
vanilluxe,ice,None,13,575,71,95,85,110,95,79
deerling,normal,grass,6,195,60,60,50,40,50,75
sawsbuck,normal,grass,19,925,80,100,70,60,70,95
emolga,electric,flying,4,50,55,75,60,75,60,103
karrablast,bug,None,5,59,50,75,45,40,45,60
escavalier,bug,steel,10,330,70,135,105,60,105,20
foongus,grass,poison,2,10,69,55,45,55,55,15
amoonguss,grass,poison,6,105,114,85,70,85,80,30
frillish,water,ghost,12,330,55,40,50,65,85,40
jellicent,water,ghost,22,1350,100,60,70,85,105,60
alomomola,water,None,12,316,165,75,80,40,45,65
joltik,bug,electric,1,6,50,47,50,57,50,65
galvantula,bug,electric,8,143,70,77,60,97,60,108
ferroseed,grass,steel,6,188,44,50,91,24,86,10
ferrothorn,grass,steel,10,1100,74,94,131,54,116,20
klink,steel,None,3,210,40,55,70,45,60,30
klang,steel,None,6,510,60,80,95,70,85,50
klinklang,steel,None,6,810,60,100,115,70,85,90
tynamo,electric,None,2,3,35,55,40,45,40,60
eelektrik,electric,None,12,220,65,85,70,75,70,40
eelektross,electric,None,21,805,85,115,80,105,80,50
elgyem,psychic,None,5,90,55,55,55,85,55,30
beheeyem,psychic,None,10,345,75,75,75,125,95,40
litwick,ghost,fire,3,31,50,30,55,65,55,20
lampent,ghost,fire,6,130,60,40,60,95,60,55
chandelure,ghost,fire,10,343,60,55,90,145,90,80
axew,dragon,None,6,180,46,87,60,30,40,57
fraxure,dragon,None,10,360,66,117,70,40,50,67
haxorus,dragon,None,18,1055,76,147,90,60,70,97
cubchoo,ice,None,5,85,55,70,40,60,40,40
beartic,ice,None,26,2600,95,130,80,70,80,50
cryogonal,ice,None,11,1480,80,50,50,95,135,105
shelmet,bug,None,4,77,50,40,85,40,65,25
accelgor,bug,None,8,253,80,70,40,100,60,145
stunfisk,ground,electric,7,110,109,66,84,81,99,32
mienfoo,fighting,None,9,200,45,85,50,55,50,65
mienshao,fighting,None,14,355,65,125,60,95,60,105
druddigon,dragon,None,16,1390,77,120,90,60,90,48
golett,ground,ghost,10,920,59,74,50,35,50,35
golurk,ground,ghost,28,3300,89,124,80,55,80,55
pawniard,dark,steel,5,102,45,85,70,40,40,60
bisharp,dark,steel,16,700,65,125,100,60,70,70
bouffalant,normal,None,16,946,95,110,95,40,95,55
rufflet,normal,flying,5,105,70,83,50,37,50,60
braviary,normal,flying,15,410,100,123,75,57,75,80
vullaby,dark,flying,5,90,70,55,75,45,65,60
mandibuzz,dark,flying,12,395,110,65,105,55,95,80
heatmor,fire,None,14,580,85,97,66,105,66,65
durant,bug,steel,3,330,58,109,112,48,48,109
deino,dark,dragon,8,173,52,65,50,45,50,38
zweilous,dark,dragon,14,500,72,85,70,65,70,58
hydreigon,dark,dragon,18,1600,92,105,90,125,90,98
larvesta,bug,fire,11,288,55,85,55,50,55,60
volcarona,bug,fire,16,460,85,60,65,135,105,100
cobalion,steel,fighting,21,2500,91,90,129,90,72,108
terrakion,rock,fighting,19,2600,91,129,90,72,90,108
virizion,grass,fighting,20,2000,91,90,72,90,129,108
tornadus-incarnate,flying,None,15,630,79,115,70,125,80,111
thundurus-incarnate,electric,flying,15,610,79,115,70,125,80,111
reshiram,dragon,fire,32,3300,100,120,100,150,120,90
zekrom,dragon,electric,29,3450,100,150,120,120,100,90
landorus-incarnate,ground,flying,15,680,89,125,90,115,80,101
kyurem,dragon,ice,30,3250,125,130,90,130,90,95
keldeo-ordinary,water,fighting,14,485,91,72,90,129,90,108
meloetta-aria,normal,psychic,6,65,100,77,77,128,128,90
genesect,bug,steel,15,825,71,120,95,120,95,99
chespin,grass,None,4,90,56,61,65,48,45,38
quilladin,grass,None,7,290,61,78,95,56,58,57
chesnaught,grass,fighting,16,900,88,107,122,74,75,64
fennekin,fire,None,4,94,40,45,40,62,60,60
braixen,fire,None,10,145,59,59,58,90,70,73
delphox,fire,psychic,15,390,75,69,72,114,100,104
froakie,water,None,3,70,41,56,40,62,44,71
frogadier,water,None,6,109,54,63,52,83,56,97
greninja,water,dark,15,400,72,95,67,103,71,122
bunnelby,normal,None,4,50,38,36,38,32,36,57
diggersby,normal,ground,10,424,85,56,77,50,77,78
fletchling,normal,flying,3,17,45,50,43,40,38,62
fletchinder,fire,flying,7,160,62,73,55,56,52,84
talonflame,fire,flying,12,245,78,81,71,74,69,126
scatterbug,bug,None,3,25,38,35,40,27,25,35
spewpa,bug,None,3,84,45,22,60,27,30,29
vivillon,bug,flying,12,170,80,52,50,90,50,89
litleo,fire,normal,6,135,62,50,58,73,54,72
pyroar,fire,normal,15,815,86,68,72,109,66,106
flabebe,fairy,None,1,1,44,38,39,61,79,42
floette,fairy,None,2,9,54,45,47,75,98,52
florges,fairy,None,11,100,78,65,68,112,154,75
skiddo,grass,None,9,310,66,65,48,62,57,52
gogoat,grass,None,17,910,123,100,62,97,81,68
pancham,fighting,None,6,80,67,82,62,46,48,43
pangoro,fighting,dark,21,1360,95,124,78,69,71,58
furfrou,normal,None,12,280,75,80,60,65,90,102
espurr,psychic,None,3,35,62,48,54,63,60,68
meowstic-male,psychic,None,6,85,74,48,76,83,81,104
honedge,steel,ghost,8,20,45,80,100,35,37,28
doublade,steel,ghost,8,45,59,110,150,45,49,35
aegislash-shield,steel,ghost,17,530,60,50,140,50,140,60
spritzee,fairy,None,2,5,78,52,60,63,65,23
aromatisse,fairy,None,8,155,101,72,72,99,89,29
swirlix,fairy,None,4,35,62,48,66,59,57,49
slurpuff,fairy,None,8,50,82,80,86,85,75,72
inkay,dark,psychic,4,35,53,54,53,37,46,45
malamar,dark,psychic,15,470,86,92,88,68,75,73
binacle,rock,water,5,310,42,52,67,39,56,50
barbaracle,rock,water,13,960,72,105,115,54,86,68
skrelp,poison,water,5,73,50,60,60,60,60,30
dragalge,poison,dragon,18,815,65,75,90,97,123,44
clauncher,water,None,5,83,50,53,62,58,63,44
clawitzer,water,None,13,353,71,73,88,120,89,59
helioptile,electric,normal,5,60,44,38,33,61,43,70
heliolisk,electric,normal,10,210,62,55,52,109,94,109
tyrunt,rock,dragon,8,260,58,89,77,45,45,48
tyrantrum,rock,dragon,25,2700,82,121,119,69,59,71
amaura,rock,ice,13,252,77,59,50,67,63,46
aurorus,rock,ice,27,2250,123,77,72,99,92,58
sylveon,fairy,None,10,235,95,65,65,110,130,60
hawlucha,fighting,flying,8,215,78,92,75,74,63,118
dedenne,electric,fairy,2,22,67,58,57,81,67,101
carbink,rock,fairy,3,57,50,50,150,50,150,50
goomy,dragon,None,3,28,45,50,35,55,75,40
sliggoo,dragon,None,8,175,68,75,53,83,113,60
goodra,dragon,None,20,1505,90,100,70,110,150,80
klefki,steel,fairy,2,30,57,80,91,80,87,75
phantump,ghost,grass,4,70,43,70,48,50,60,38
trevenant,ghost,grass,15,710,85,110,76,65,82,56
pumpkaboo-average,ghost,grass,4,50,49,66,70,44,55,51
gourgeist-average,ghost,grass,9,125,65,90,122,58,75,84
bergmite,ice,None,10,995,55,69,85,32,35,28
avalugg,ice,None,20,5050,95,117,184,44,46,28
noibat,flying,dragon,5,80,40,30,35,45,40,55
noivern,flying,dragon,15,850,85,70,80,97,80,123
xerneas,fairy,None,30,2150,126,131,95,131,98,99
yveltal,dark,flying,58,2030,126,131,95,131,98,99
zygarde-50,dragon,ground,50,3050,108,100,121,81,95,95
diancie,rock,fairy,7,88,50,100,150,100,150,50
hoopa,psychic,ghost,5,90,80,110,60,150,130,70
volcanion,fire,water,17,1950,80,110,120,130,90,70
rowlet,grass,flying,3,15,68,55,55,50,50,42
dartrix,grass,flying,7,160,78,75,75,70,70,52
decidueye,grass,ghost,16,366,78,107,75,100,100,70
litten,fire,None,4,43,45,65,40,60,40,70
torracat,fire,None,7,250,65,85,50,80,50,90
incineroar,fire,dark,18,830,95,115,90,80,90,60
popplio,water,None,4,75,50,54,54,66,56,40
brionne,water,None,6,175,60,69,69,91,81,50
primarina,water,fairy,18,440,80,74,74,126,116,60
pikipek,normal,flying,3,12,35,75,30,30,30,65
trumbeak,normal,flying,6,148,55,85,50,40,50,75
toucannon,normal,flying,11,260,80,120,75,75,75,60
yungoos,normal,None,4,60,48,70,30,30,30,45
gumshoos,normal,None,7,142,88,110,60,55,60,45
grubbin,bug,None,4,44,47,62,45,55,45,46
charjabug,bug,electric,5,105,57,82,95,55,75,36
vikavolt,bug,electric,15,450,77,70,90,145,75,43
crabrawler,fighting,None,6,70,47,82,57,42,47,63
crabominable,fighting,ice,17,1800,97,132,77,62,67,43
oricorio-baile,fire,flying,6,34,75,70,70,98,70,93
cutiefly,bug,fairy,1,2,40,45,40,55,40,84
ribombee,bug,fairy,2,5,60,55,60,95,70,124
rockruff,rock,None,5,92,45,65,40,30,40,60
lycanroc-midday,rock,None,8,250,75,115,65,55,65,112
wishiwashi-solo,water,None,2,3,45,20,20,25,25,40
mareanie,poison,water,4,80,50,53,62,43,52,45
toxapex,poison,water,7,145,50,63,152,53,142,35
mudbray,ground,None,10,1100,70,100,70,45,55,45
mudsdale,ground,None,25,9200,100,125,100,55,85,35
dewpider,water,bug,3,40,38,40,52,40,72,27
araquanid,water,bug,18,820,68,70,92,50,132,42
fomantis,grass,None,3,15,40,55,35,50,35,35
lurantis,grass,None,9,185,70,105,90,80,90,45
morelull,grass,fairy,2,15,40,35,55,65,75,15
shiinotic,grass,fairy,10,115,60,45,80,90,100,30
salandit,poison,fire,6,48,48,44,40,71,40,77
salazzle,poison,fire,12,222,68,64,60,111,60,117
stufful,normal,fighting,5,68,70,75,50,45,50,50
bewear,normal,fighting,21,1350,120,125,80,55,60,60
bounsweet,grass,None,3,32,42,30,38,30,38,32
steenee,grass,None,7,82,52,40,48,40,48,62
tsareena,grass,None,12,214,72,120,98,50,98,72
comfey,fairy,None,1,3,51,52,90,82,110,100
oranguru,normal,psychic,15,760,90,60,80,90,110,60
passimian,fighting,None,20,828,100,120,90,40,60,80
wimpod,bug,water,5,120,25,35,40,20,30,80
golisopod,bug,water,20,1080,75,125,140,60,90,40
sandygast,ghost,ground,5,700,55,55,80,70,45,15
palossand,ghost,ground,13,2500,85,75,110,100,75,35
pyukumuku,water,None,3,12,55,60,130,30,130,5
type-null,normal,None,19,1205,95,95,95,95,95,59
silvally,normal,None,23,1005,95,95,95,95,95,95
minior-red-meteor,rock,flying,3,400,60,60,100,60,100,60
komala,normal,None,4,199,65,115,65,75,95,65
turtonator,fire,dragon,20,2120,60,78,135,91,85,36
togedemaru,electric,steel,3,33,65,98,63,40,73,96
mimikyu-disguised,ghost,fairy,2,7,55,90,80,50,105,96
bruxish,water,psychic,9,190,68,105,70,70,70,92
drampa,normal,dragon,30,1850,78,60,85,135,91,36
dhelmise,ghost,grass,39,2100,70,131,100,86,90,40
jangmo-o,dragon,None,6,297,45,55,65,45,45,45
hakamo-o,dragon,fighting,12,470,55,75,90,65,70,65
kommo-o,dragon,fighting,16,782,75,110,125,100,105,85
tapu-koko,electric,fairy,18,205,70,115,85,95,75,130
tapu-lele,psychic,fairy,12,186,70,85,75,130,115,95
tapu-bulu,grass,fairy,19,455,70,130,115,85,95,75
tapu-fini,water,fairy,13,212,70,75,115,95,130,85
cosmog,psychic,None,2,1,43,29,31,29,31,37
cosmoem,psychic,None,1,9999,43,29,131,29,131,37
solgaleo,psychic,steel,34,2300,137,137,107,113,89,97
lunala,psychic,ghost,40,1200,137,113,89,137,107,97
nihilego,rock,poison,12,555,109,53,47,127,131,103
buzzwole,bug,fighting,24,3336,107,139,139,53,53,79
pheromosa,bug,fighting,18,250,71,137,37,137,37,151
xurkitree,electric,None,38,1000,83,89,71,173,71,83
celesteela,steel,flying,92,9999,97,101,103,107,101,61
kartana,grass,steel,3,1,59,181,131,59,31,109
guzzlord,dark,dragon,55,8880,223,101,53,97,53,43
necrozma,psychic,None,24,2300,97,107,101,127,89,79
magearna,steel,fairy,10,805,80,95,115,130,115,65
marshadow,fighting,ghost,7,222,90,125,80,90,90,125
poipole,poison,None,6,18,67,73,67,73,67,73
naganadel,poison,dragon,36,1500,73,73,73,127,73,121
stakataka,rock,steel,55,8200,61,131,211,53,101,13
blacephalon,fire,ghost,18,130,53,127,53,151,79,107
zeraora,electric,None,15,445,88,112,75,102,80,143
meltan,steel,None,2,80,46,65,65,55,35,34
melmetal,steel,None,25,8000,135,143,143,80,65,34
grookey,grass,None,3,50,50,65,50,40,40,65
thwackey,grass,None,7,140,70,85,70,55,60,80
rillaboom,grass,None,21,900,100,125,90,60,70,85
scorbunny,fire,None,3,45,50,71,40,40,40,69
raboot,fire,None,6,90,65,86,60,55,60,94
cinderace,fire,None,14,330,80,116,75,65,75,119
sobble,water,None,3,40,50,40,40,70,40,70
drizzile,water,None,7,115,65,60,55,95,55,90
inteleon,water,None,19,452,70,85,65,125,65,120
skwovet,normal,None,3,25,70,55,55,35,35,25
greedent,normal,None,6,60,120,95,95,55,75,20
rookidee,flying,None,2,18,38,47,35,33,35,57
corvisquire,flying,None,8,160,68,67,55,43,55,77
corviknight,flying,steel,22,750,98,87,105,53,85,67
blipbug,bug,None,4,80,25,20,20,25,45,45
dottler,bug,psychic,4,195,50,35,80,50,90,30
orbeetle,bug,psychic,4,408,60,45,110,80,120,90
nickit,dark,None,6,89,40,28,28,47,52,50
thievul,dark,None,12,199,70,58,58,87,92,90
gossifleur,grass,None,4,22,40,40,60,40,60,10
eldegoss,grass,None,5,25,60,50,90,80,120,60
wooloo,normal,None,6,60,42,40,55,40,45,48
dubwool,normal,None,13,430,72,80,100,60,90,88
chewtle,water,None,3,85,50,64,50,38,38,44
drednaw,water,rock,10,1155,90,115,90,48,68,74
yamper,electric,None,3,135,59,45,50,40,50,26
boltund,electric,None,10,340,69,90,60,90,60,121
rolycoly,rock,None,3,120,30,40,50,40,50,30
carkol,rock,fire,11,780,80,60,90,60,70,50
coalossal,rock,fire,28,3105,110,80,120,80,90,30
applin,grass,dragon,2,5,40,40,80,40,40,20
flapple,grass,dragon,3,10,70,110,80,95,60,70
appletun,grass,dragon,4,130,110,85,80,100,80,30
silicobra,ground,None,22,76,52,57,75,35,50,46
sandaconda,ground,None,38,655,72,107,125,65,70,71
cramorant,flying,water,8,180,70,85,55,85,95,85
arrokuda,water,None,5,10,41,63,40,40,30,66
barraskewda,water,None,13,300,61,123,60,60,50,136
toxel,electric,poison,4,110,40,38,35,54,35,40
toxtricity-amped,electric,poison,16,400,75,98,70,114,70,75
sizzlipede,fire,bug,7,10,50,65,45,50,50,45
centiskorch,fire,bug,30,1200,100,115,65,90,90,65
clobbopus,fighting,None,6,40,50,68,60,50,50,32
grapploct,fighting,None,16,390,80,118,90,70,80,42
sinistea,ghost,None,1,2,40,45,45,74,54,50
polteageist,ghost,None,2,4,60,65,65,134,114,70
hatenna,psychic,None,4,34,42,30,45,56,53,39
hattrem,psychic,None,6,48,57,40,65,86,73,49
hatterene,psychic,fairy,21,51,57,90,95,136,103,29
impidimp,dark,fairy,4,55,45,45,30,55,40,50
morgrem,dark,fairy,8,125,65,60,45,75,55,70
grimmsnarl,dark,fairy,15,610,95,120,65,95,75,60
obstagoon,dark,normal,16,460,93,90,101,60,81,95
perrserker,steel,None,8,280,70,110,100,50,60,50
cursola,ghost,None,10,4,60,95,50,145,130,30
sirfetchd,fighting,None,8,1170,62,135,95,68,82,65
mr-rime,ice,psychic,15,582,80,85,75,110,100,70
runerigus,ground,ghost,16,666,58,95,145,50,105,30
milcery,fairy,None,2,3,45,40,40,50,61,34
alcremie,fairy,None,3,5,65,60,75,110,121,64
falinks,fighting,None,30,620,65,100,100,70,60,75
pincurchin,electric,None,3,10,48,101,95,91,85,15
snom,ice,bug,3,38,30,25,35,45,30,20
frosmoth,ice,bug,13,420,70,65,60,125,90,65
stonjourner,rock,None,25,5200,100,125,135,20,20,70
eiscue-ice,ice,None,14,890,75,80,110,65,90,50
indeedee-male,psychic,normal,9,280,60,65,55,105,95,95
morpeko-full-belly,electric,dark,3,30,58,95,58,70,58,97
cufant,steel,None,12,1000,72,80,49,40,49,40
copperajah,steel,None,30,6500,122,130,69,80,69,30
dracozolt,electric,dragon,18,1900,90,100,90,80,70,75
arctozolt,electric,ice,23,1500,90,100,90,90,80,55
dracovish,water,dragon,23,2150,90,90,100,70,80,75
arctovish,water,ice,20,1750,90,90,100,80,90,55
duraludon,steel,dragon,18,400,70,95,115,120,50,85
dreepy,dragon,ghost,5,20,28,60,30,40,30,82
drakloak,dragon,ghost,14,110,68,80,50,60,50,102
dragapult,dragon,ghost,30,500,88,120,75,100,75,142
zacian,fairy,None,28,1100,92,120,115,80,115,138
zamazenta,fighting,None,29,2100,92,120,115,80,115,138
eternatus,poison,dragon,200,9500,140,85,95,145,95,130
kubfu,fighting,None,6,120,60,90,60,53,50,72
urshifu-single-strike,fighting,dark,19,1050,100,130,100,63,60,97
zarude,dark,grass,18,700,105,120,105,70,95,105
regieleki,electric,None,12,1450,80,100,50,100,50,200
regidrago,dragon,None,21,2000,200,100,50,100,50,80
glastrier,ice,None,22,8000,100,145,130,65,110,30
spectrier,ghost,None,20,445,100,65,60,145,80,130
calyrex,psychic,grass,11,77,100,80,80,80,80,80
wyrdeer,normal,psychic,18,951,103,105,72,105,75,65
kleavor,bug,rock,18,890,70,135,95,45,70,85
ursaluna,ground,normal,24,2900,130,140,105,45,80,50
basculegion-male,water,ghost,30,1100,120,112,65,80,75,78
sneasler,fighting,poison,13,430,80,130,60,40,80,120
overqwil,dark,poison,25,605,85,115,95,65,65,85
enamorus-incarnate,fairy,flying,16,480,74,115,70,135,80,106
sprigatito,grass,None,4,41,40,61,54,45,45,65
floragato,grass,None,9,122,61,80,63,60,63,83
meowscarada,grass,dark,15,312,76,110,70,81,70,123
fuecoco,fire,None,4,98,67,45,59,63,40,36
crocalor,fire,None,10,307,81,55,78,90,58,49
skeledirge,fire,ghost,16,3265,104,75,100,110,75,66
quaxly,water,None,5,61,55,65,45,50,45,50
quaxwell,water,None,12,215,70,85,65,65,60,65
quaquaval,water,fighting,18,619,85,120,80,85,75,85
lechonk,normal,None,5,102,54,45,40,35,45,35
oinkologne-male,normal,None,10,1200,110,100,75,59,80,65
tarountula,bug,None,3,40,35,41,45,29,40,20
spidops,bug,None,10,165,60,79,92,52,86,35
nymble,bug,None,2,10,33,46,40,21,25,45
lokix,bug,dark,10,175,71,102,78,52,55,92
pawmi,electric,None,3,25,45,50,20,40,25,60
pawmo,electric,fighting,4,65,60,75,40,50,40,85
pawmot,electric,fighting,9,410,70,115,70,70,60,105
tandemaus,normal,None,3,18,50,50,45,40,45,75
maushold-family-of-four,normal,None,3,23,74,75,70,65,75,111
fidough,fairy,None,3,109,37,55,70,30,55,65
dachsbun,fairy,None,5,149,57,80,115,50,80,95
smoliv,grass,normal,3,65,41,35,45,58,51,30
dolliv,grass,normal,6,119,52,53,60,78,78,33
arboliva,grass,normal,14,482,78,69,90,125,109,39
squawkabilly-green-plumage,normal,flying,6,24,82,96,51,45,51,92
nacli,rock,None,4,160,55,55,75,35,35,25
naclstack,rock,None,6,1050,60,60,100,35,65,35
garganacl,rock,None,23,2400,100,100,130,45,90,35
charcadet,fire,None,6,105,40,50,40,50,40,35
armarouge,fire,psychic,15,850,85,60,100,125,80,75
ceruledge,fire,ghost,16,620,75,125,80,60,100,85
tadbulb,electric,None,3,4,61,31,41,59,35,45
bellibolt,electric,None,12,1130,109,64,91,103,83,45
wattrel,electric,flying,4,36,40,40,35,55,40,70
kilowattrel,electric,flying,14,386,70,70,60,105,60,125
maschiff,dark,None,5,160,60,78,60,40,51,51
mabosstiff,dark,None,11,610,80,120,90,60,70,85
shroodle,poison,normal,2,7,40,65,35,40,35,75
grafaiai,poison,normal,7,272,63,95,65,80,72,110
bramblin,grass,ghost,6,6,40,65,30,45,35,60
brambleghast,grass,ghost,12,60,55,115,70,80,70,90
toedscool,ground,grass,9,330,40,40,35,50,100,70
toedscruel,ground,grass,19,580,80,70,65,80,120,100
klawf,rock,None,13,790,70,100,115,35,55,75
capsakid,grass,None,3,30,50,62,40,62,40,50
scovillain,grass,fire,9,150,65,108,65,108,65,75
rellor,bug,None,2,10,41,50,60,31,58,30
rabsca,bug,psychic,3,35,75,50,85,115,100,45
flittle,psychic,None,2,15,30,35,30,55,30,75
espathra,psychic,None,19,900,95,60,60,101,60,105
tinkatink,fairy,steel,4,89,50,45,45,35,64,58
tinkatuff,fairy,steel,7,591,65,55,55,45,82,78
tinkaton,fairy,steel,7,1128,85,75,77,70,105,94
wiglett,water,None,12,18,10,55,25,35,25,95
wugtrio,water,None,12,54,35,100,50,50,70,120
bombirdier,flying,dark,15,429,70,103,85,60,85,82
finizen,water,None,13,602,70,45,40,45,40,75
palafin-zero,water,None,13,602,100,70,72,53,62,100
varoom,steel,poison,10,350,45,70,63,30,45,47
revavroom,steel,poison,18,1200,80,119,90,54,67,90
cyclizar,dragon,normal,16,630,70,95,65,85,65,121
orthworm,steel,None,25,3100,70,85,145,60,55,65
glimmet,rock,poison,7,80,48,35,42,105,60,60
glimmora,rock,poison,15,450,83,55,90,130,81,86
greavard,ghost,None,6,350,50,61,60,30,55,34
houndstone,ghost,None,20,150,72,101,100,50,97,68
flamigo,flying,fighting,16,370,82,115,74,75,64,90
cetoddle,ice,None,12,450,108,68,45,30,40,43
cetitan,ice,None,45,7000,170,113,65,45,55,73
veluza,water,psychic,25,900,90,102,73,78,65,70
dondozo,water,None,120,2200,150,100,115,65,65,35
tatsugiri-curly,dragon,water,3,80,68,50,60,120,95,82
annihilape,fighting,ghost,12,560,110,115,80,50,90,90
clodsire,poison,ground,18,2230,130,75,60,45,100,20
farigiraf,normal,psychic,32,1600,120,90,70,110,70,60
dudunsparce-two-segment,normal,None,36,392,125,100,80,85,75,55
kingambit,dark,steel,20,1200,100,135,120,60,85,50
great-tusk,ground,fighting,22,3200,115,131,131,53,53,87
scream-tail,fairy,psychic,12,80,115,65,99,65,115,111
brute-bonnet,grass,dark,12,210,111,127,99,79,99,55
flutter-mane,ghost,fairy,14,40,55,55,55,135,135,135
slither-wing,bug,fighting,32,920,85,135,79,85,105,81
sandy-shocks,electric,ground,23,600,85,81,97,121,85,101
iron-treads,ground,steel,9,2400,90,112,120,72,70,106
iron-bundle,ice,water,6,110,56,80,114,124,60,136
iron-hands,fighting,electric,18,3807,154,140,108,50,68,50
iron-jugulis,dark,flying,13,1110,94,80,86,122,80,108
iron-moth,fire,poison,12,360,80,70,60,140,110,110
iron-thorns,rock,electric,16,3030,100,134,110,70,84,72
frigibax,dragon,ice,5,170,65,75,45,35,45,55
arctibax,dragon,ice,8,300,90,95,66,45,65,62
baxcalibur,dragon,ice,21,2100,115,145,92,75,86,87
gimmighoul,ghost,None,3,50,45,30,70,75,70,10
gholdengo,steel,ghost,12,300,87,60,95,133,91,84
wo-chien,dark,grass,15,742,85,85,100,95,135,70
chien-pao,dark,ice,19,1522,80,120,80,90,65,135
ting-lu,dark,ground,27,6997,155,110,125,55,80,45
chi-yu,dark,fire,4,49,55,80,80,135,120,100
roaring-moon,dragon,dark,20,3800,105,139,71,55,101,119
iron-valiant,fairy,fighting,14,350,74,130,90,120,60,116
koraidon,fighting,dragon,25,3030,100,135,115,85,100,135
miraidon,electric,dragon,35,2400,100,85,100,135,115,135
walking-wake,water,dragon,35,2800,99,83,91,125,83,109
iron-leaves,grass,psychic,15,1250,90,130,88,70,108,104
dipplin,grass,dragon,4,97,80,80,110,95,80,40
poltchageist,grass,ghost,1,11,40,45,45,74,54,50
sinistcha,grass,ghost,2,22,71,60,106,121,80,70
okidogi,poison,fighting,18,922,88,128,115,58,86,80
munkidori,poison,psychic,10,122,88,75,66,130,90,106
fezandipiti,poison,fairy,14,301,88,91,82,70,125,99
ogerpon,grass,None,12,398,80,120,84,60,96,110
archaludon,steel,dragon,20,600,90,105,130,125,65,85
hydrapple,grass,dragon,18,930,106,80,110,120,80,44
gouging-fire,fire,dragon,35,5900,105,115,121,65,93,91
raging-bolt,electric,dragon,52,4800,125,73,91,137,89,75
iron-boulder,rock,psychic,15,1625,90,120,80,68,108,124
iron-crown,steel,psychic,16,1560,90,72,100,122,108,98
terapagos,normal,None,2,65,90,65,85,65,85,60
pecharunt,poison,ghost,3,3,88,88,160,88,88,88
deoxys-attack,psychic,None,17,608,50,180,20,180,20,150
deoxys-defense,psychic,None,17,608,50,70,160,70,160,90
deoxys-speed,psychic,None,17,608,50,95,90,95,90,180
wormadam-sandy,bug,ground,5,65,60,79,105,59,85,36
wormadam-trash,bug,steel,5,65,60,69,95,69,95,36
shaymin-sky,grass,flying,4,52,100,103,75,120,75,127
giratina-origin,ghost,dragon,69,6500,150,120,100,120,100,90
rotom-heat,electric,fire,3,3,50,65,107,105,107,86
rotom-wash,electric,water,3,3,50,65,107,105,107,86
rotom-frost,electric,ice,3,3,50,65,107,105,107,86
